year,month,day,avg_load
2020,4,1,9761.6
2020,4,2,9988.2
2020,4,3,10146.7
2020,4,4,10080.5
2020,4,5,9952.7
2020,4,6,9993.9
2020,4,7,9754.6
2020,4,8,9729.3
2020,4,9,9157.3
2020,4,10,8415.5
2020,4,11,9038.8
2020,4,12,9174.6
2020,4,13,9683.4
2020,4,14,9852.3
2020,4,15,10037.3
2020,4,16,10234.5
2020,4,17,10413.2
2020,4,18,10526.4
2020,4,19,10256.9
2020,4,20,10417.1
2020,4,21,10393.0
2020,4,22,10558.7
2020,4,23,10677.0
2020,4,24,10660.2
2020,4,25,10388.2
2020,4,26,9324.4
2020,4,27,9337.9
2020,4,28,9683.2
2020,4,29,8917.9
2020,4,30,9251.3
2020,5,1,9426.8
2020,5,2,9930.2
2020,5,3,10163.6
2020,5,4,10665.6
2020,5,5,11044.4
2020,5,6,11516.2
2020,5,7,11461.8
2020,5,8,11780.0
2020,5,9,11915.8
2020,5,10,11775.5
2020,5,11,12408.6
2020,5,12,12184.7
2020,5,13,12153.6
2020,5,14,12405.1
2020,5,15,12550.6
2020,5,16,12273.3
2020,5,17,11340.4
2020,5,18,11214.8
2020,5,19,11401.8
2020,5,20,12156.2
2020,5,21,12347.6
2020,5,22,12557.4
2020,5,23,12786.2
2020,5,24,12339.4
2020,5,25,12539.7
2020,5,26,13087.7
2020,5,27,13346.7
2020,5,28,12848.0
2020,5,29,12343.2
2020,5,30,12602.9
2020,5,31,11848.0
2020,6,1,12389.4
2020,6,2,12501.7
2020,6,3,12678.8
2020,6,4,12987.7
2020,6,5,13124.7
2020,6,6,12297.4
2020,6,7,11654.6
2020,6,8,12370.6
2020,6,9,12874.7
2020,6,10,12714.9
2020,6,11,12314.5
2020,6,12,11975.8
2020,6,13,12284.6
2020,6,14,11736.3
2020,6,15,12882.7
2020,6,16,13114.6
2020,6,17,13421.0
2020,6,18,13244.4
2020,6,19,13189.7
2020,6,20,12916.2
2020,6,21,12021.1
2020,6,22,12175.3
2020,6,23,12347.0
2020,6,24,12041.3
2020,6,25,11799.3
2020,6,26,11792.0
2020,6,27,12005.2
2020,6,28,11141.6
2020,6,29,11626.7
2020,6,30,11698.3
2021,4,1,14993.7
2021,4,2,15119.2
2021,4,3,15072.7
2021,4,4,14563.4
2021,4,5,15108.7
2021,4,6,13072.9
2021,4,7,14816.8
2021,4,8,15156.9
2021,4,9,15513.0
2021,4,10,15620.5
2021,4,11,14306.8
2021,4,12,14710.2
2021,4,13,14746.2
2021,4,14,13765.3
2021,4,15,12884.2
