Datetime,load,temperature,humidity,rain,wind10,wind100,radiation,cloud_cover,Week_day,hour,day_of_week,month,year,day_of_year,is_summer,is_monsoon,is_holiday,load_lag_24,load_lag_48,load_lag_168,load_roll_mean_24,load_roll_mean_168,load_roll_std_24
2020-01-08 00:00:00,10632.57,23.0,92.0,0.0,9.5,19.1,0.0,90.0,0.0,0,2,1,2020,8,0,0,0,10985.25,10128.39,10070.02,12140.57125,11877.62255952381,1098.533484761322
2020-01-08 01:00:00,10429.41,23.6,88.0,0.0,11.2,19.5,0.0,60.0,0.0,1,2,1,2020,8,0,0,0,10611.49,9880.85,9811.36,12125.876250000001,11880.97107142857,1116.8659905787351
2020-01-08 02:00:00,10258.19,24.5,84.0,0.0,11.6,17.4,37.0,29.0,0.0,2,2,1,2020,8,0,0,0,10445.3,9745.83,9656.43,12118.289583333333,11884.64994047619,1128.1614975335829
2020-01-08 03:00:00,10116.57,25.9,75.0,0.0,13.6,18.4,197.0,26.0,0.0,3,2,1,2020,8,0,0,0,10421.09,9717.62,9573.75,12110.493333333332,11888.231845238095,1140.8012047514346
2020-01-08 04:00:00,10199.25,27.6,66.0,0.0,13.2,17.7,423.0,20.0,0.0,4,2,1,2020,8,0,0,0,10250.45,9675.82,9477.89,12097.805,11891.462916666667,1161.9064679636044
2020-01-08 05:00:00,10829.43,29.1,58.0,0.0,14.2,18.9,586.0,14.0,0.0,5,2,1,2020,8,0,0,0,10887.91,10452.65,9999.03,12095.671666666667,11895.756726190477,1165.4872855168587
2020-01-08 06:00:00,12076.37,30.2,51.0,0.0,15.1,19.5,710.0,27.0,0.0,6,2,1,2020,8,0,0,0,12054.13,11862.73,10794.94,12093.234999999999,11900.699583333333,1168.1801400469049
2020-01-08 07:00:00,13604.81,31.2,47.0,0.0,14.3,18.1,791.0,22.0,0.0,7,2,1,2020,8,0,0,0,13688.91,13388.84,11849.81,12094.161666666667,11908.327142857142,1168.156591813404
2020-01-08 08:00:00,13248.48,31.9,44.0,0.0,13.5,17.3,783.0,25.0,0.0,8,2,1,2020,8,0,0,0,13514.07,13432.61,12312.56,12090.6575,11918.773571428572,1163.2807311716394
2020-01-08 09:00:00,12945.9,32.0,42.0,0.0,13.3,16.8,638.0,44.0,0.0,9,2,1,2020,8,0,0,0,12856.8,13175.36,12194.04,12079.59125,11924.344523809523,1150.3424457972174
2020-01-08 10:00:00,13254.97,31.3,43.0,0.0,12.1,15.6,338.0,60.0,0.0,10,2,1,2020,8,0,0,0,12590.38,13149.31,12349.76,12083.30375,11928.81988095238,1153.1002578184539
2020-01-08 11:00:00,13301.4,31.2,42.0,0.0,12.0,16.8,235.0,77.0,0.0,11,2,1,2020,8,0,0,0,12523.52,12837.92,11926.72,12110.995,11934.208035714286,1173.6045711285892
2020-01-08 12:00:00,13310.07,28.6,59.0,0.0,16.2,23.5,117.0,37.0,0.0,12,2,1,2020,8,0,0,0,12368.71,12703.33,12021.44,12143.406666666664,11942.390654761904,1196.0200604820009
2020-01-08 13:00:00,12662.18,26.2,75.0,0.0,15.5,25.8,23.0,5.0,0.0,13,2,1,2020,8,0,0,0,12269.7,12306.73,11664.4,12182.63,11950.061071428572,1218.9462684059852
2020-01-08 14:00:00,12826.89,25.5,78.0,0.0,15.1,25.7,0.0,0.0,0.0,14,2,1,2020,8,0,0,0,12267.58,12504.84,11343.72,12198.983333333332,11956.00023809524,1222.7918657964558
2020-01-08 15:00:00,13112.3,24.9,80.0,0.0,14.3,25.2,0.0,0.0,0.0,15,2,1,2020,8,0,0,0,12351.22,12542.9,11242.79,12222.287916666666,11964.828630952381,1229.4676397459323
2020-01-08 16:00:00,13164.15,24.4,81.0,0.0,12.4,22.8,0.0,0.0,0.0,16,2,1,2020,8,0,0,0,12389.5,12640.8,11429.22,12253.999583333332,11975.956666666667,1242.6820308666877
2020-01-08 17:00:00,13590.02,24.0,83.0,0.0,11.9,22.5,0.0,0.0,0.0,17,2,1,2020,8,0,0,0,12733.85,13273.81,11593.26,12286.276666666667,11986.283630952381,1256.3397225019344
2020-01-08 18:00:00,14018.59,23.5,84.0,0.0,11.8,22.3,0.0,0.0,0.0,18,2,1,2020,8,0,0,0,13587.34,13693.24,12215.63,12321.950416666667,11998.169107142858,1281.5045582998534
2020-01-08 19:00:00,13807.08,23.0,85.0,0.0,10.2,20.0,0.0,15.0,0.0,19,2,1,2020,8,0,0,0,13755.23,13578.11,12030.32,12339.919166666667,12008.901011904762,1302.8641777851603
2020-01-08 20:00:00,13180.59,22.5,87.0,0.0,9.5,19.1,0.0,3.0,0.0,20,2,1,2020,8,0,0,0,13248.76,13040.72,11582.27,12342.079583333334,12019.476964285714,1305.3537027031002
2020-01-08 21:00:00,12444.56,22.1,88.0,0.0,8.4,17.7,0.0,4.0,0.0,21,2,1,2020,8,0,0,0,12609.86,12570.69,11061.97,12339.239166666666,12028.990773809524,1303.3676674439992
2020-01-08 22:00:00,11873.64,21.8,90.0,0.0,7.6,16.5,0.0,4.0,0.0,22,2,1,2020,8,0,0,0,11926.57,12087.16,10322.25,12332.351666666667,12037.220476190476,1302.3117522169275
2020-01-08 23:00:00,11185.44,21.5,91.0,0.0,7.6,16.3,0.0,3.0,0.0,23,2,1,2020,8,0,0,0,11036.09,11491.46,9749.03,12330.14625,12046.45494047619,1303.0734004245605
2020-01-09 00:00:00,10671.09,21.1,93.0,0.0,7.3,15.9,0.0,3.0,0.0,0,3,1,2020,9,0,0,0,10632.57,10985.25,9441.42,12336.369166666665,12055.005,1296.9671650596088
2020-01-09 01:00:00,10376.44,21.3,92.0,0.0,8.3,17.0,0.0,1.0,0.0,1,3,1,2020,9,0,0,0,10429.41,10611.49,9262.24,12337.974166666667,12062.324464285713,1294.7890428238386
2020-01-09 02:00:00,10303.37,22.5,87.0,0.0,9.7,16.3,48.0,2.0,0.0,2,3,1,2020,9,0,0,0,10258.19,10445.3,9118.15,12335.767083333334,12068.956607142856,1298.224397835215
2020-01-09 03:00:00,10144.14,24.6,76.0,0.0,12.8,17.3,245.0,4.0,0.0,3,3,1,2020,9,0,0,0,10116.57,10421.09,9027.03,12337.649583333334,12076.011488095239,1295.1098294856151
2020-01-09 04:00:00,10176.11,26.4,66.0,0.0,14.2,18.4,457.0,32.0,0.0,4,3,1,2020,9,0,0,0,10199.25,10250.45,8982.88,12338.798333333334,12082.660952380953,1293.0647101318675
2020-01-09 05:00:00,10829.64,27.9,58.0,0.0,12.7,16.1,638.0,17.0,0.0,5,3,1,2020,9,0,0,0,10829.43,10887.91,9636.05,12337.834166666667,12089.763511904763,1294.7369612191917
2020-01-09 06:00:00,12059.03,29.2,53.0,0.0,12.5,15.9,767.0,11.0,0.0,6,3,1,2020,9,0,0,0,12076.37,12054.13,10783.03,12337.842916666666,12096.868214285714,1294.7263246774846
2020-01-09 07:00:00,13621.19,30.4,48.0,0.0,12.5,16.1,870.0,59.0,0.0,7,3,1,2020,9,0,0,0,13604.81,13688.91,12233.01,12337.120416666667,12104.463452380953,1294.8834077428166
2020-01-09 08:00:00,13545.83,31.5,43.0,0.0,13.8,17.8,862.0,26.0,0.0,8,3,1,2020,9,0,0,0,13248.48,13514.07,12814.2,12337.802916666667,12112.726428571428,1295.5847521099588
2020-01-09 09:00:00,13170.96,31.8,40.0,0.0,14.5,18.8,670.0,58.0,0.0,9,3,1,2020,9,0,0,0,12945.9,12856.8,12857.25,12350.1925,12117.081369047619,1306.0516200772947
