Datetime,load,temperature,humidity,rain,wind10,wind100,radiation,cloud_cover,Week_day
2020-01-01 00:00:00,10070.02,23.2,93.0,0.0,9.2,17.4,0.0,100.0,0
2020-01-01 01:00:00,9811.36,23.6,91.0,0.0,9.8,17.2,0.0,98.0,0
2020-01-01 02:00:00,9656.43,24.4,87.0,0.0,13.7,19.0,32.0,94.0,0
2020-01-01 03:00:00,9573.75,25.6,81.0,0.0,13.5,18.6,128.0,97.0,0
2020-01-01 04:00:00,9477.89,26.9,73.0,0.0,13.3,17.9,260.0,96.0,0
2020-01-01 05:00:00,9999.03,28.1,68.0,0.1,12.9,16.8,441.0,89.0,0
2020-01-01 06:00:00,10794.94,29.1,64.0,0.1,13.2,17.2,638.0,91.0,0
2020-01-01 07:00:00,11849.81,29.5,66.0,0.0,11.8,15.0,601.0,96.0,0
2020-01-01 08:00:00,12312.56,29.5,66.0,0.0,11.6,15.0,539.0,95.0,0
2020-01-01 09:00:00,12194.04,29.8,68.0,0.0,9.8,12.7,503.0,90.0,0
2020-01-01 10:00:00,12349.76,28.7,71.0,0.1,10.8,13.7,380.0,82.0,0
2020-01-01 11:00:00,11926.72,28.4,73.0,0.4,8.6,11.5,275.0,78.0,0
2020-01-01 12:00:00,12021.44,28.2,70.0,0.2,9.6,14.8,129.0,70.0,0
2020-01-01 13:00:00,11664.4,27.0,74.0,0.0,8.4,16.8,16.0,83.0,0
2020-01-01 14:00:00,11343.72,26.1,80.0,0.0,9.1,18.6,0.0,85.0,0
2020-01-01 15:00:00,11242.79,25.1,86.0,0.0,9.0,18.4,0.0,86.0,0
2020-01-01 16:00:00,11429.22,24.5,91.0,0.0,8.9,18.8,0.0,88.0,0
2020-01-01 17:00:00,11593.26,24.1,93.0,0.0,9.2,19.4,0.0,73.0,0
2020-01-01 18:00:00,12215.63,23.8,94.0,0.0,9.7,19.4,0.0,82.0,0
2020-01-01 19:00:00,12030.32,23.5,97.0,0.0,9.3,19.5,0.0,8.0,0
2020-01-01 20:00:00,11582.27,23.4,97.0,0.0,9.3,19.4,0.0,14.0,0
2020-01-01 21:00:00,11061.97,23.2,97.0,0.0,9.3,18.5,0.0,18.0,0
2020-01-01 22:00:00,10322.25,23.1,97.0,0.0,8.9,18.2,0.0,24.0,0
2020-01-01 23:00:00,9749.03,23.0,97.0,0.0,8.9,17.4,0.0,27.0,0
2020-01-02 00:00:00,9441.42,23.0,98.0,0.0,8.7,17.3,0.0,20.0,0
2020-01-02 01:00:00,9262.24,23.3,95.0,0.0,8.9,17.2,0.0,72.0,0
2020-01-02 02:00:00,9118.15,24.3,90.0,0.0,10.6,15.1,48.0,90.0,0
2020-01-02 03:00:00,9027.03,26.1,80.0,0.0,12.8,16.7,223.0,64.0,0
